scene,floor,image1,image2,label
Anaheim,2,0,6,1
Anaheim,2,1,2,0
Anaheim,2,1,3,1
Anaheim,2,1,4,1
Anaheim,2,1,5,1
Anaheim,2,1,6,1
Anaheim,2,2,3,0
Anaheim,2,2,4,1
Anaheim,2,2,5,0
Anaheim,2,2,6,0
Anaheim,2,3,4,0
Anaheim,2,3,5,1
Anaheim,2,3,6,1
Anaheim,2,4,5,1
Anaheim,2,4,6,1
Anaheim,2,5,6,1
Applewold,0,0,1,1
Applewold,0,0,2,1
Applewold,0,0,3,1
Applewold,0,0,4,0
Applewold,0,0,5,0
Applewold,0,0,6,0
Applewold,0,0,7,0
Applewold,0,0,8,0
Applewold,0,0,9,1
Applewold,0,1,2,1
Applewold,0,1,3,1
Applewold,0,1,4,1
Applewold,0,1,5,0
Applewold,0,1,6,1
Applewold,0,1,7,0
Applewold,0,1,8,1
Applewold,0,1,9,0
Applewold,0,2,3,1
Applewold,0,2,4,1
Applewold,0,2,5,0
Applewold,0,2,6,1
Applewold,0,2,7,0
Applewold,0,2,8,1
Applewold,0,2,9,1
Applewold,0,3,4,0
Applewold,0,3,5,0
Applewold,0,3,6,0
Applewold,0,3,7,0
Applewold,0,3,8,0
Applewold,0,3,9,0
Applewold,0,4,5,0
Applewold,0,4,6,1
Applewold,0,4,7,0
Applewold,0,4,8,1
Applewold,0,4,9,0
Applewold,0,5,6,0
Applewold,0,5,7,1
Applewold,0,5,8,0
Applewold,0,5,9,0
Applewold,0,6,7,0
Applewold,0,6,8,1
Applewold,0,6,9,0
Applewold,0,7,8,0
Applewold,0,7,9,0
Applewold,0,8,9,0
Applewold,1,0,1,1
Applewold,1,0,2,1
Applewold,1,0,3,1
Applewold,1,0,4,1
Applewold,1,0,5,0
Applewold,1,1,2,1
Applewold,1,1,3,1
Applewold,1,1,4,1
Applewold,1,1,5,1
Applewold,1,2,3,1
Applewold,1,2,4,1
Applewold,1,2,5,1
Applewold,1,3,4,1
Applewold,1,3,5,0
Applewold,1,4,5,0
Applewold,2,0,1,0
Applewold,2,0,2,1
Applewold,2,0,3,1
Applewold,2,0,4,1
Applewold,2,1,2,0
Applewold,2,1,3,0
Applewold,2,1,4,0
Applewold,2,2,3,1
Applewold,2,2,4,1
Applewold,2,3,4,1
Goffs,0,0,1,1
Goffs,0,0,2,0
Goffs,0,0,3,1
Goffs,0,0,4,0
Goffs,0,0,5,1
Goffs,0,0,6,1
Goffs,0,0,7,1
Goffs,0,0,8,0
Goffs,0,0,9,0
Goffs,0,1,2,0
Goffs,0,1,3,0
Goffs,0,1,4,0
Goffs,0,1,5,1
Goffs,0,1,6,1
Goffs,0,1,7,1
Goffs,0,1,8,0
Goffs,0,1,9,0
Goffs,0,2,3,0
Goffs,0,2,4,1
Goffs,0,2,5,0
Goffs,0,2,6,1
Goffs,0,2,7,0
Goffs,0,2,8,0
Goffs,0,2,9,0
Goffs,0,3,4,0
Goffs,0,3,5,0
Goffs,0,3,6,0
Goffs,0,3,7,1
Goffs,0,3,8,0
Goffs,0,3,9,0
Goffs,0,4,5,0
Goffs,0,4,6,1
Goffs,0,4,7,0
Goffs,0,4,8,0
Goffs,0,4,9,0
Goffs,0,5,6,0
Goffs,0,5,7,1
Goffs,0,5,8,0
Goffs,0,5,9,0
Goffs,0,6,7,0
Goffs,0,6,8,0
Goffs,0,6,9,0
Goffs,0,7,8,0
Goffs,0,7,9,0
Goffs,0,8,9,1
Goffs,1,0,1,0
Goffs,1,0,2,0
Goffs,1,0,3,0
Goffs,1,0,4,0
Goffs,1,0,5,0
Goffs,1,0,6,0
Goffs,1,0,7,0
Goffs,1,0,8,0
Goffs,1,0,9,0
Goffs,1,0,10,0
Goffs,1,0,11,0
Goffs,1,0,12,0
Goffs,1,0,13,0
Goffs,1,0,14,0
Goffs,1,0,15,0
Goffs,1,1,2,1
Goffs,1,1,3,0
Goffs,1,1,4,0
Goffs,1,1,5,0
Goffs,1,1,6,0
Goffs,1,1,7,1
Goffs,1,1,8,0
Goffs,1,1,9,0
Goffs,1,1,10,0
Goffs,1,1,11,0
Goffs,1,1,12,0
Goffs,1,1,13,0
Goffs,1,1,14,0
Goffs,1,1,15,1
Goffs,1,2,3,0
Goffs,1,2,4,0
Goffs,1,2,5,0
Goffs,1,2,6,1
Goffs,1,2,7,0
Goffs,1,2,8,0
Goffs,1,2,9,1
Goffs,1,2,10,1
Goffs,1,2,11,0
Goffs,1,2,12,0
Goffs,1,2,13,0
Goffs,1,2,14,0
Goffs,1,2,15,0
Goffs,1,3,4,0
Goffs,1,3,5,0
Goffs,1,3,6,0
Goffs,1,3,7,0
Goffs,1,3,8,1
Goffs,1,3,9,0
Goffs,1,3,10,0
Goffs,1,3,11,0
Goffs,1,3,12,0
Goffs,1,3,13,0
Goffs,1,3,14,0
Goffs,1,3,15,0
Goffs,1,4,5,0
Goffs,1,4,6,0
Goffs,1,4,7,0
Goffs,1,4,8,1
Goffs,1,4,9,0
Goffs,1,4,10,0
Goffs,1,4,11,1
Goffs,1,4,12,1
Goffs,1,4,13,0
Goffs,1,4,14,0
Goffs,1,4,15,0
Goffs,1,5,6,0
Goffs,1,5,7,0
Goffs,1,5,8,0
Goffs,1,5,9,0
Goffs,1,5,10,0
Goffs,1,5,11,0
Goffs,1,5,12,0
Goffs,1,5,13,0
Goffs,1,5,14,0
Goffs,1,5,15,0
Goffs,1,6,7,0
Goffs,1,6,8,0
Goffs,1,6,9,1
Goffs,1,6,10,0
Goffs,1,6,11,0
Goffs,1,6,12,0
Goffs,1,6,13,0
Goffs,1,6,14,0
Goffs,1,6,15,0
Goffs,1,7,8,0
Goffs,1,7,9,0
Goffs,1,7,10,0
Goffs,1,7,11,0
Goffs,1,7,12,0
Goffs,1,7,13,0
Goffs,1,7,14,0
Goffs,1,7,15,0
Goffs,1,8,9,0
Goffs,1,8,10,0
Goffs,1,8,11,1
Goffs,1,8,12,1
Goffs,1,8,13,0
Goffs,1,8,14,0
Goffs,1,8,15,0
Goffs,1,9,10,0
Goffs,1,9,11,0
Goffs,1,9,12,0
Goffs,1,9,13,0
Goffs,1,9,14,0
Goffs,1,9,15,0
Goffs,1,10,11,0
Goffs,1,10,12,0
Goffs,1,10,13,0
Goffs,1,10,14,0
Goffs,1,10,15,0
Goffs,1,11,12,1
Goffs,1,11,13,0
Goffs,1,11,14,0
Goffs,1,11,15,0
Goffs,1,12,13,0
Goffs,1,12,14,0
Goffs,1,12,15,0
Goffs,1,13,14,0
Goffs,1,13,15,0
Goffs,1,14,15,0
Mesic,0,0,1,0
Mesic,0,0,2,1
Mesic,0,0,3,0
Mesic,0,0,4,1
Mesic,0,0,5,0
Mesic,0,0,6,0
Mesic,0,0,7,0
Mesic,0,0,8,1
Mesic,0,0,9,0
Mesic,0,0,10,1
Mesic,0,0,11,0
Mesic,0,0,12,1
Mesic,0,1,2,0
Mesic,0,1,3,0
Mesic,0,1,4,0
Mesic,0,1,5,0
Mesic,0,1,6,0
Mesic,0,1,7,0
Mesic,0,1,8,0
Mesic,0,1,9,0
Mesic,0,1,10,0
Mesic,0,1,11,0
Mesic,0,1,12,0
Mesic,0,2,3,1
Mesic,0,2,4,1
Mesic,0,2,5,0
Mesic,0,2,6,0
Mesic,0,2,7,1
Mesic,0,2,8,1
Mesic,0,2,9,1
Mesic,0,2,10,0
Mesic,0,2,11,0
Mesic,0,2,12,0
Mesic,0,3,4,1
Mesic,0,3,5,1
Mesic,0,3,6,0
Mesic,0,3,7,1
Mesic,0,3,8,1
Mesic,0,3,9,1
Mesic,0,3,10,0
Mesic,0,3,11,1
Mesic,0,3,12,0
Mesic,0,4,5,1
Mesic,0,4,6,0
Mesic,0,4,7,1
Mesic,0,4,8,1
Mesic,0,4,9,1
Mesic,0,4,10,1
Mesic,0,4,11,1
Mesic,0,4,12,0
Mesic,0,5,6,0
Mesic,0,5,7,1
Mesic,0,5,8,0
Mesic,0,5,9,0
Mesic,0,5,10,1
Mesic,0,5,11,1
Mesic,0,5,12,0
Mesic,0,6,7,0
Mesic,0,6,8,0
Mesic,0,6,9,0
Mesic,0,6,10,0
Mesic,0,6,11,0
Mesic,0,6,12,0
Mesic,0,7,8,1
Mesic,0,7,9,1
Mesic,0,7,10,1
Mesic,0,7,11,1
Mesic,0,7,12,0
Mesic,0,8,9,1
Mesic,0,8,10,1
Mesic,0,8,11,1
Mesic,0,8,12,0
Mesic,0,9,10,0
Mesic,0,9,11,0
Mesic,0,9,12,0
Mesic,0,10,11,1
Mesic,0,10,12,1
Mesic,0,11,12,1
Mesic,1,0,1,1
Mesic,1,0,2,0
Mesic,1,0,3,0
Mesic,1,0,4,0
Mesic,1,0,5,0
Mesic,1,0,6,1
Mesic,1,0,7,0
Mesic,1,0,8,0
Mesic,1,1,2,0
Mesic,1,1,3,0
Mesic,1,1,4,0
Mesic,1,1,5,0
Mesic,1,1,6,1
Mesic,1,1,7,0
Mesic,1,1,8,0
Mesic,1,2,3,1
Mesic,1,2,4,0
Mesic,1,2,5,0
Mesic,1,2,6,0
Mesic,1,2,7,1
Mesic,1,2,8,0
Mesic,1,3,4,0
Mesic,1,3,5,1
Mesic,1,3,6,0
Mesic,1,3,7,1
Mesic,1,3,8,0
Mesic,1,4,5,0
Mesic,1,4,6,0
Mesic,1,4,7,1
Mesic,1,4,8,1
Mesic,1,5,6,0
Mesic,1,5,7,0
Mesic,1,5,8,0
Mesic,1,6,7,0
Mesic,1,6,8,0
Mesic,1,7,8,0
Sanctuary,0,0,1,1
Sanctuary,0,0,2,0
Sanctuary,0,0,3,0
Sanctuary,0,0,4,0
Sanctuary,0,0,5,1
Sanctuary,0,0,6,0
Sanctuary,0,0,7,0
Sanctuary,0,0,8,1
Sanctuary,0,0,9,0
Sanctuary,0,0,10,0
Sanctuary,0,0,11,0
Sanctuary,0,0,12,0
Sanctuary,0,0,13,1
Sanctuary,0,0,14,0
Sanctuary,0,0,15,0
Sanctuary,0,0,16,0
Sanctuary,0,0,17,0
Sanctuary,0,0,18,0
Sanctuary,0,1,2,0
Sanctuary,0,1,3,0
Sanctuary,0,1,4,0
Sanctuary,0,1,5,0
Sanctuary,0,1,6,0
Sanctuary,0,1,7,0
Sanctuary,0,1,8,1
Sanctuary,0,1,9,0
Sanctuary,0,1,10,0
Sanctuary,0,1,11,0
Sanctuary,0,1,12,0
Sanctuary,0,1,13,0
Sanctuary,0,1,14,0
Sanctuary,0,1,15,1
Sanctuary,0,1,16,1
Sanctuary,0,1,17,1
Sanctuary,0,1,18,1
Sanctuary,0,2,3,0
Sanctuary,0,2,4,0
Sanctuary,0,2,5,1
Sanctuary,0,2,6,0
Sanctuary,0,2,7,0
Sanctuary,0,2,8,0
Sanctuary,0,2,9,0
Sanctuary,0,2,10,0
Sanctuary,0,2,11,0
Sanctuary,0,2,12,0
Sanctuary,0,2,13,1
Sanctuary,0,2,14,0
Sanctuary,0,2,15,0
Sanctuary,0,2,16,0
Sanctuary,0,2,17,0
Sanctuary,0,2,18,0
Sanctuary,0,3,4,0
Sanctuary,0,3,5,0
Sanctuary,0,3,6,0
Sanctuary,0,3,7,0
Sanctuary,0,3,8,0
Sanctuary,0,3,9,0
Sanctuary,0,3,10,0
Sanctuary,0,3,11,0
Sanctuary,0,3,12,0
Sanctuary,0,3,13,0
Sanctuary,0,3,14,0
Sanctuary,0,3,15,0
Sanctuary,0,3,16,1
Sanctuary,0,3,17,0
Sanctuary,0,3,18,1
Sanctuary,0,4,5,0
Sanctuary,0,4,6,1
Sanctuary,0,4,7,1
Sanctuary,0,4,8,0
Sanctuary,0,4,9,0
Sanctuary,0,4,10,0
Sanctuary,0,4,11,0
Sanctuary,0,4,12,0
Sanctuary,0,4,13,0
Sanctuary,0,4,14,0
Sanctuary,0,4,15,0
Sanctuary,0,4,16,0
Sanctuary,0,4,17,0
Sanctuary,0,4,18,0
Sanctuary,0,5,6,0
Sanctuary,0,5,7,0
Sanctuary,0,5,8,0
Sanctuary,0,5,9,0
Sanctuary,0,5,10,1
Sanctuary,0,5,11,0
Sanctuary,0,5,12,0
Sanctuary,0,5,13,1
Sanctuary,0,5,14,1
Sanctuary,0,5,15,0
Sanctuary,0,5,16,0
Sanctuary,0,5,17,0
Sanctuary,0,5,18,0
Sanctuary,0,6,7,1
Sanctuary,0,6,8,0
Sanctuary,0,6,9,0
Sanctuary,0,6,10,0
Sanctuary,0,6,11,0
Sanctuary,0,6,12,0
Sanctuary,0,6,13,0
Sanctuary,0,6,14,0
Sanctuary,0,6,15,0
Sanctuary,0,6,16,0
Sanctuary,0,6,17,0
Sanctuary,0,6,18,0
Sanctuary,0,7,8,0
Sanctuary,0,7,9,0
Sanctuary,0,7,10,0
Sanctuary,0,7,11,0
Sanctuary,0,7,12,0
Sanctuary,0,7,13,0
Sanctuary,0,7,14,0
Sanctuary,0,7,15,0
Sanctuary,0,7,16,0
Sanctuary,0,7,17,0
Sanctuary,0,7,18,0
Sanctuary,0,8,9,0
Sanctuary,0,8,10,0
Sanctuary,0,8,11,0
Sanctuary,0,8,12,0
Sanctuary,0,8,13,0
Sanctuary,0,8,14,0
Sanctuary,0,8,15,0
Sanctuary,0,8,16,0
Sanctuary,0,8,17,1
Sanctuary,0,8,18,0
Sanctuary,0,9,10,0
Sanctuary,0,9,11,0
Sanctuary,0,9,12,0
Sanctuary,0,9,13,0
Sanctuary,0,9,14,0
Sanctuary,0,9,15,0
Sanctuary,0,9,16,0
Sanctuary,0,9,17,0
Sanctuary,0,9,18,0
Sanctuary,0,10,11,0
Sanctuary,0,10,12,0
Sanctuary,0,10,13,0
Sanctuary,0,10,14,1
Sanctuary,0,10,15,0
Sanctuary,0,10,16,0
Sanctuary,0,10,17,0
Sanctuary,0,10,18,0
Sanctuary,0,11,12,0
Sanctuary,0,11,13,1
Sanctuary,0,11,14,0
Sanctuary,0,11,15,0
Sanctuary,0,11,16,1
Sanctuary,0,11,17,0
Sanctuary,0,11,18,1
Sanctuary,0,12,13,0
Sanctuary,0,12,14,0
Sanctuary,0,12,15,0
Sanctuary,0,12,16,0
Sanctuary,0,12,17,0
Sanctuary,0,12,18,0
Sanctuary,0,13,14,0
Sanctuary,0,13,15,0
Sanctuary,0,13,16,0
Sanctuary,0,13,17,0
Sanctuary,0,13,18,1
Sanctuary,0,14,15,0
Sanctuary,0,14,16,0
Sanctuary,0,14,17,0
Sanctuary,0,14,18,0
Sanctuary,0,15,16,0
Sanctuary,0,15,17,0
Sanctuary,0,15,18,0
Sanctuary,0,16,17,0
Sanctuary,0,16,18,1
Sanctuary,0,17,18,0
Silas,0,0,1,1
Silas,0,0,2,0
Silas,0,0,3,1
Silas,0,0,4,0
Silas,0,0,5,0
Silas,0,0,6,0
Silas,0,0,7,0
Silas,0,0,8,1
Silas,0,0,9,1
Silas,0,0,10,0
Silas,0,0,11,0
Silas,0,0,12,1
Silas,0,0,13,1
Silas,0,0,14,0
Silas,0,0,15,0
Silas,0,0,16,0
Silas,0,0,17,0
Silas,0,1,2,0
Silas,0,1,3,1
Silas,0,1,4,0
Silas,0,1,5,0
Silas,0,1,6,0
Silas,0,1,7,1
Silas,0,1,8,1
Silas,0,1,9,1
Silas,0,1,10,0
Silas,0,1,11,0
Silas,0,1,12,1
Silas,0,1,13,0
Silas,0,1,14,0
Silas,0,1,15,1
Silas,0,1,16,0
Silas,0,1,17,0
Silas,0,2,3,1
Silas,0,2,4,0
Silas,0,2,5,0
Silas,0,2,6,0
Silas,0,2,7,0
Silas,0,2,8,1
Silas,0,2,9,1
Silas,0,2,10,0
Silas,0,2,11,0
Silas,0,2,12,0
Silas,0,2,13,1
Silas,0,2,14,1
Silas,0,2,15,1
Silas,0,2,16,0
Silas,0,2,17,0
Silas,0,3,4,0
Silas,0,3,5,0
Silas,0,3,6,0
Silas,0,3,7,1
Silas,0,3,8,1
Silas,0,3,9,0
Silas,0,3,10,0
Silas,0,3,11,0
Silas,0,3,12,1
Silas,0,3,13,1
Silas,0,3,14,0
Silas,0,3,15,1
Silas,0,3,16,0
Silas,0,3,17,0
Silas,0,4,5,0
Silas,0,4,6,0
Silas,0,4,7,0
Silas,0,4,8,0
Silas,0,4,9,1
Silas,0,4,10,1
Silas,0,4,11,1
Silas,0,4,12,0
Silas,0,4,13,0
Silas,0,4,14,0
Silas,0,4,15,0
Silas,0,4,16,0
Silas,0,4,17,0
Silas,0,5,6,0
Silas,0,5,7,0
Silas,0,5,8,0
Silas,0,5,9,0
Silas,0,5,10,1
Silas,0,5,11,1
Silas,0,5,12,0
Silas,0,5,13,0
Silas,0,5,14,0
Silas,0,5,15,0
Silas,0,5,16,0
Silas,0,5,17,0
Silas,0,6,7,0
Silas,0,6,8,0
Silas,0,6,9,0
Silas,0,6,10,0
Silas,0,6,11,0
Silas,0,6,12,0
Silas,0,6,13,0
Silas,0,6,14,0
Silas,0,6,15,0
Silas,0,6,16,0
Silas,0,6,17,0
Silas,0,7,8,1
Silas,0,7,9,0
Silas,0,7,10,0
Silas,0,7,11,0
Silas,0,7,12,1
Silas,0,7,13,0
Silas,0,7,14,0
Silas,0,7,15,0
Silas,0,7,16,0
Silas,0,7,17,0
Silas,0,8,9,1
Silas,0,8,10,0
Silas,0,8,11,0
Silas,0,8,12,1
Silas,0,8,13,1
Silas,0,8,14,1
Silas,0,8,15,1
Silas,0,8,16,0
Silas,0,8,17,0
Silas,0,9,10,0
Silas,0,9,11,0
Silas,0,9,12,1
Silas,0,9,13,1
Silas,0,9,14,0
Silas,0,9,15,0
Silas,0,9,16,0
Silas,0,9,17,0
Silas,0,10,11,1
Silas,0,10,12,0
Silas,0,10,13,0
Silas,0,10,14,0
Silas,0,10,15,0
Silas,0,10,16,0
Silas,0,10,17,0
Silas,0,11,12,0
Silas,0,11,13,0
Silas,0,11,14,0
Silas,0,11,15,0
Silas,0,11,16,0
Silas,0,11,17,0
Silas,0,12,13,1
Silas,0,12,14,1
Silas,0,12,15,1
Silas,0,12,16,0
Silas,0,12,17,0
Silas,0,13,14,1
Silas,0,13,15,1
Silas,0,13,16,0
Silas,0,13,17,0
Silas,0,14,15,1
Silas,0,14,16,0
Silas,0,14,17,0
Silas,0,15,16,0
Silas,0,15,17,0
Silas,0,16,17,1
Silas,1,0,1,0
Silas,1,0,2,0
Silas,1,0,3,0
Silas,1,0,4,0
Silas,1,0,5,1
Silas,1,0,6,1
Silas,1,0,7,0
Silas,1,0,8,0
Silas,1,0,9,1
Silas,1,0,10,1
Silas,1,0,11,1
Silas,1,0,12,1
Silas,1,1,2,0
Silas,1,1,3,0
Silas,1,1,4,0
Silas,1,1,5,0
Silas,1,1,6,0
Silas,1,1,7,1
Silas,1,1,8,0
Silas,1,1,9,0
Silas,1,1,10,0
Silas,1,1,11,0
Silas,1,1,12,1
Silas,1,2,3,1
Silas,1,2,4,0
Silas,1,2,5,0
Silas,1,2,6,0
Silas,1,2,7,0
Silas,1,2,8,0
Silas,1,2,9,0
Silas,1,2,10,0
Silas,1,2,11,0
Silas,1,2,12,0
Silas,1,3,4,0
Silas,1,3,5,0
Silas,1,3,6,0
Silas,1,3,7,0
Silas,1,3,8,0
Silas,1,3,9,0
Silas,1,3,10,0
Silas,1,3,11,0
Silas,1,3,12,0
Silas,1,4,5,0
Silas,1,4,6,0
Silas,1,4,7,0
Silas,1,4,8,0
Silas,1,4,9,1
Silas,1,4,10,0
Silas,1,4,11,0
Silas,1,4,12,0
Silas,1,5,6,1
Silas,1,5,7,0
Silas,1,5,8,0
Silas,1,5,9,1
Silas,1,5,10,0
Silas,1,5,11,0
Silas,1,5,12,1
Silas,1,6,7,0
Silas,1,6,8,0
Silas,1,6,9,1
Silas,1,6,10,0
Silas,1,6,11,1
Silas,1,6,12,1
Silas,1,7,8,0
Silas,1,7,9,0
Silas,1,7,10,0
Silas,1,7,11,0
Silas,1,7,12,0
Silas,1,8,9,0
Silas,1,8,10,1
Silas,1,8,11,1
Silas,1,8,12,0
Silas,1,9,10,0
Silas,1,9,11,0
Silas,1,9,12,0
Silas,1,10,11,1
Silas,1,10,12,0
Silas,1,11,12,0
